date,symbol,signal_time,entry_price,quantity,position_rs,stop_loss,target,rr,strategies_fired,agreeing_count,composite_score,driver_strategy,reason,exit_time,exit_price,exit_reason,result,pnl_rs,pnl_pct,predicted_win_pct
2023-03-15,IEX,09:15,145.61020408163265,2289,333301.76,145.32448979591834,148.5489795918367,10.29,"BULL-FLAG,CAMARILLA,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,GAP-CONT,ORB-15,ORB-30,PDH-PDL,REL-STR,SR-BREAK,STOCHASTIC,VOL-SPIKE,VPOC",6,7.7209,VPOC,VPOC: breakout above VAH=145.61,09:20,148.5489795918367,TARGET_HIT,EXACT_WIN,6219.9,1.87,56.9
2023-03-16,INDHOTEL,13:55,316.0,1054,333064.0,313.0,322.0,2.0,"ADX-FILTER,BOLLINGER,CAMARILLA,DAILY-BIAS,EMA-CROSS,FALL-WEDGE,MACD,ORB-30,REL-STR,SR-BREAK,SUPERTREND,VWAP-STDDEV",2,3.725,ORB-30,ORB-30: breakout above 316.00 (range=3.00),15:15,320.6,TIME_EXIT,WIN,4343.26,1.3,47.2
2023-03-17,DLF,09:15,361.1102040816326,923,333304.72,360.26071428571424,376.74081632653053,18.4,"ADX-FILTER,CAMARILLA,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,ORB-15,PDH-PDL,REL-STR,SR-BREAK,STOCHASTIC,VOL-SPIKE,VPOC",4,5.881,VPOC,VPOC: breakout above VAH=361.11,09:30,376.74081632653053,TARGET_HIT,EXACT_WIN,13914.0,4.17,58.1
2023-03-20,PIDILITIND,13:10,1173.8,283,332185.4,1162.5,1196.3999999999999,2.0,"ASC-TRI,BOLLINGER,CAMARILLA,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,MACD,ORB-15,ORB-30,PDH-PDL,REL-STR,SR-BREAK,SUPERTREND,VPOC",4,5.131,ORB-30,ORB-30: breakout above 1173.80 (range=11.30),15:15,1185.0,TIME_EXIT,WIN,2666.98,0.8,48.7
2023-03-21,NAVINFLUOR,09:15,4258.2675,78,332144.86,4234.65875,4352.702499999999,4.0,"ASC-TRI,CAMARILLA,CPR,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,ORB-15,PDH-PDL,REL-STR,SR-BREAK,STOCHASTIC,VOL-SPIKE,VPOC,VWAP-REV,VWAP-STDDEV",5,6.6935,CAMARILLA,CAMARILLA: breakout above H4=4258.27,09:30,4352.702499999999,TARGET_HIT,EXACT_WIN,6860.05,2.07,57.4
2023-03-22,MCX,09:15,302.2,1103,333326.6,301.1,306.59999999999997,4.0,"ASC-TRI,BULL-FLAG,CAMARILLA,CPR,DAILY-BIAS,FIRST-CANDLE,ORB-15,ORB-30,PDH-PDL,REL-STR,VPOC",4,2.8554,CAMARILLA,CAMARILLA: breakout above H4=302.20,10:20,306.59999999999997,TARGET_HIT,EXACT_WIN,4347.69,1.3,49.1
2023-03-23,GODREJCP,10:55,949.95,350,332482.5,943.35,963.1500000000001,2.0,"BOLLINGER,CAMARILLA,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,MACD,ORB-30,PDH-PDL,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC",2,4.3498,ORB-30,ORB-30: breakout above 949.95 (range=6.60),15:15,950.95,TIME_EXIT,WIN,-150.79,-0.05,47.8
2023-03-24,PIDILITIND,09:35,1182.9,281,332394.9,1181.2816326530613,1187.2979591836736,2.72,"ASC-TRI,BOLLINGER,CAMARILLA,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,MACD,SR-BREAK,SUPERTREND,VPOC",2,3.9748,VPOC,VPOC: rejection below VPOC=1184.97,09:45,1187.2979591836736,TARGET_HIT,EXACT_WIN,734.45,0.22,48.4
2023-03-27,MGL,09:15,951.2087499999999,350,332923.06,945.1175,963.39125,2.0,"ADX-FILTER,BOLLINGER,CAMARILLA,DAILY-BIAS,FIRST-CANDLE,MACD,RSI-EXT,VWAP-STDDEV",2,3.3438,CAMARILLA,"CAMARILLA: reversal at L3=951.21, target H3=963.39",09:30,963.39125,TARGET_HIT,EXACT_WIN,3759.39,1.13,49.8
2023-03-28,DABUR,09:15,541.0250000000001,616,333271.4,540.075,542.9250000000002,2.0,"ADX-FILTER,ASC-TRI,BOLLINGER,CAMARILLA,CPR,DAILY-BIAS,DBL-BTM,MACD,VPOC,VWAP-STDDEV",3,2.9748,CPR,"CPR: narrow CPR, breakout above TC=541.03",09:20,540.075,STOP_HIT,LOSS,-1086.33,-0.33,49.5
