date,symbol,direction,signal_time,entry_price,quantity,position_rs,stop_loss,target,rr,strategies_fired,agreeing_count,composite_score,driver_strategy,reason,exit_time,exit_price,exit_reason,result,pnl_rs,pnl_pct,predicted_win_pct,conviction_tier
2022-06-30,MPHASIS,SHORT,10:10,2226.5724999999998,224,498752.24,2236.4449999999997,2206.8275,2.0,"BOLLINGER,CAMARILLA,DAILY-BIAS,FAILED-BO,FIRST-CANDLE,MACD,ORB-15,ORB-30,PDH-PDL,REL-STR,SR-BREAK,STOCHASTIC,SUPERTREND",13,39.0,CAMARILLA,"CAMARILLA: reversal at H3=2226.57, target L3=2206.83",11:00,2206.8275,TARGET_HIT,EXACT_WIN,3698.2,0.74,66.1,HIGH
2022-07-01,ITC,LONG,09:25,225.86122448979592,2213,499830.89,225.74642857142857,227.00918367346938,10.0,"ADX-FILTER,BOLLINGER,CAMARILLA,DAILY-BIAS,EMA-CROSS,FIRST-CANDLE,INTRADAY-STRUCT,MACD,ORB-15,ORB-30,REL-STR,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC",8,36.7227,VPOC,VPOC: breakout above VAH=225.86,09:40,227.00918367346938,TARGET_HIT,EXACT_WIN,1809.74,0.36,40.5,STANDARD
2022-07-01,COALINDIA,SHORT,09:25,173.08624999999998,2888,499873.09,174.7225,169.81375,2.0,"ADX-FILTER,CAMARILLA,DAILY-BIAS,MACD,ORB-15,ORB-30,PDH-PDL,REL-STR,SR-BREAK,STOCHASTIC,VPOC",11,33.0,CAMARILLA,"CAMARILLA: reversal at H3=173.09, target L3=169.81",09:40,169.81375,TARGET_HIT,EXACT_WIN,8727.65,1.75,67.8,HIGH
2022-07-04,POONAWALLA,LONG,09:40,231.67755102040817,2158,499960.16,230.95204081632653,237.965306122449,8.67,"ADX-FILTER,FALL-WEDGE,FIRST-CANDLE,MACD,ORB-15,ORB-30,PDH-PDL,REL-STR,RSI-EXT,SR-BREAK,STOCHASTIC,VPOC,VWAP-REV",9,32.1236,VPOC,VPOC: breakout above VAH=231.68,09:45,230.95204081632653,STOP_HIT,LOSS,-2293.27,-0.46,42.0,STANDARD
2022-07-04,IEX,SHORT,09:15,161.01375,3105,499947.69,162.1275,158.78625000000002,2.0,"ADX-FILTER,BOLLINGER,CAMARILLA,DAILY-BIAS,FAILED-BO,FIRST-CANDLE,MACD,ORB-30,PIN-BAR,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC",13,39.0,CAMARILLA,"CAMARILLA: reversal at H3=161.01, target L3=158.79",09:50,158.78625000000002,TARGET_HIT,EXACT_WIN,6191.5,1.24,65.2,HIGH
2022-07-05,SBICARD,LONG,09:20,792.74,630,499426.2,788.395,810.1200000000001,4.0,"CAMARILLA,CPR,DAILY-BIAS,FIRST-CANDLE,ORB-15,ORB-30,PDH-PDL,REL-STR,SR-BREAK,VOL-SPIKE,VPOC",10,33.0,CAMARILLA,CAMARILLA: breakout above H4=792.74,11:25,810.1200000000001,TARGET_HIT,EXACT_WIN,10212.6,2.04,44.3,STANDARD
2022-07-05,DIXON,SHORT,09:15,3617.7925,138,499255.36,3635.585,3582.2075,2.0,"CAMARILLA,FAILED-BO,FIRST-CANDLE,INTRADAY-STRUCT,MACD,ORB-15,ORB-30,PDH-PDL,PIN-BAR,REL-STR,SR-BREAK,STOCHASTIC,SUPERTREND",13,39.0,CAMARILLA,"CAMARILLA: reversal at H3=3617.79, target L3=3582.21",09:25,3582.2075,TARGET_HIT,EXACT_WIN,4185.64,0.84,67.2,HIGH
2022-07-06,M&M,LONG,09:30,1092.9524999999999,457,499479.29,1086.47625,1118.8574999999996,4.0,"CAMARILLA,DAILY-BIAS,FIRST-CANDLE,ORB-15,ORB-30,PDH-PDL,PIN-BAR,REL-STR,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC",10,33.125,CAMARILLA,CAMARILLA: breakout above H4=1092.95,15:15,1104.4,TIME_EXIT,WIN,4499.17,0.9,42.9,STANDARD
2022-07-06,BEL,SHORT,09:30,76.75500000000001,6514,499982.07,77.36000000000001,75.545,2.0,"CAMARILLA,DAILY-BIAS,DESC-TRI,FIRST-CANDLE,MACD,ORB-15,ORB-30,PDH-PDL,REL-STR,SR-BREAK,STOCHASTIC,SUPERTREND",12,36.0,CAMARILLA,"CAMARILLA: reversal at H3=76.76, target L3=75.55",10:20,75.545,TARGET_HIT,EXACT_WIN,7157.56,1.43,67.5,HIGH
2022-07-07,POONAWALLA,LONG,09:15,233.455,2141,499827.16,232.0525,239.06500000000003,4.0,"ADX-FILTER,CAMARILLA,CPR,FIRST-CANDLE,INTRADAY-STRUCT,ORB-15,ORB-30,PDH-PDL,PIN-BAR,REL-STR,SR-BREAK,STOCHASTIC,VPOC",9,39.0,CAMARILLA,CAMARILLA: breakout above H4=233.46,09:55,239.06500000000003,TARGET_HIT,EXACT_WIN,11272.83,2.26,41.9,STANDARD
2022-07-07,HDFCLIFE,SHORT,09:15,564.2975,886,499967.59,568.9449999999999,555.0024999999999,2.0,"ADX-FILTER,CAMARILLA,DAILY-BIAS,FIRST-CANDLE,INTRADAY-STRUCT,MACD,ORB-15,ORB-30,PDH-PDL,PIN-BAR,REL-STR,STOCHASTIC,SUPERTREND",13,39.0,CAMARILLA,"CAMARILLA: reversal at H3=564.30, target L3=555.00",11:00,555.0024999999999,TARGET_HIT,EXACT_WIN,7511.21,1.5,67.5,HIGH
2022-07-08,CONCOR,LONG,09:45,529.5100000000001,944,499857.44,525.605,545.1300000000002,4.0,"CAMARILLA,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,INTRADAY-STRUCT,ORB-15,ORB-30,PDH-PDL,REL-STR,SR-BREAK,STOCHASTIC,VPOC,VWAP-STDDEV",10,36.125,CAMARILLA,CAMARILLA: breakout above H4=529.51,10:50,525.605,STOP_HIT,LOSS,-4412.12,-0.88,42.3,STANDARD
